"codgeo";"libgeo";"pop2019";"pop0020_2019";"pop6475_2019";"pop7582019";"typoAAV20";"grilledens7";"libaav20";"tx_evol_annuel_1319"
"17078";"Chadenac";"511";"122";"97";"67";"T00_30";6;"N/A - hors champ";"2.18"
"17079";"Chaillevette";"1610";"345";"350";"164";"T02_20";3;"131 - Royan";"1.3"
"17080";"Chambon";"961";"238";"168";"82";"T03_20";6;"051 - La Rochelle";"1.44"
"17081";"Chamouillac";"372";"89";"69";"44";"T00_30";6;"N/A - hors champ";"0.41"
"17082";"Champagnac";"527";"136";"107";"38";"T01_20";6;"354 - Jonzac";"-0.34"
"17083";"Champagne";"619";"160";"106";"45";"T02_20";6;"140 - Rochefort";"0.14"
"17084";"Champagnolles";"678";"172";"127";"63";"T00_30";6;"N/A - hors champ";"1.75"
"17085";"Champdolent";"408";"108";"51";"30";"T02_20";6;"140 - Rochefort";"0.29"
"17086";"Chaniers";"3587";"722";"889";"410";"T02_20";6;"120 - Saintes";"0.32"
"17087";"Chantemerle-sur-la-Soie";"205";"58";"37";"17";"T01_20";6;"315 - Saint-Jean-d'Angély";"3.89"
"17089";"La Chapelle-des-Pots";"1004";"193";"244";"73";"T02_20";6;"120 - Saintes";"0.35"
"17091";"Charron";"2001";"478";"365";"197";"T03_20";5;"051 - La Rochelle";"0.66"
"17092";"Chartuzac";"160";"24";"41";"21";"T01_20";6;"354 - Jonzac";"0.1"
"17093";"Le Château-d'Oléron";"4270";"706";"1124";"694";"T00_30";5;"N/A - hors champ";"1.07"
"17094";"Châtelaillon-Plage";"5900";"931";"1730";"1003";"T03_20";4;"051 - La Rochelle";"-0.08"
"17095";"Chatenet";"215";"39";"59";"29";"T00_30";7;"N/A - hors champ";"-1.68"
"17096";"Chaunac";"77";"10";"22";"9";"T00_30";7;"N/A - hors champ";"-3.78"
"17097";"Le Chay";"778";"168";"190";"79";"T02_20";6;"131 - Royan";"0.41"
